,Unnamed: 0,tweet_id,name,engagement_type,engagement_parent,rawTweet,univ_id,time_published,media_type,geo,postTweet,keyN,tweet_counts,user_counts,gpt_label,manual_label,is_gt,semi_label,cluster,emb_val
3982,22506,6406665,11020,retweet,85d40974b07ac4ade8e238219222b75501c7354d6ce633d00e1b9ee249186a51,"RT @IndoPac_Info 1) #Philippines announces 4 additional sites for military bases under the Enhanced Defense Cooperation Agreement with #US 1-Naval Base Camilo Osias in Sta Ana, Cagayan 2-Lal-lo Airport in Lal-lo, Cagayan 3-Camp Melchor Dela Cruz in Gamu, Isabela 4-Balabac Island in Palawan https://t.co/Jm6RGiRU57",,1680584158,Twitter,,additional agreement airport ana announces balabac base bases cagayan cagayan camilo camp cooperation cruz defense dela enhanced gamu isabela island lal lal lo lo melchor military naval osias palawan rt sites sta,32,77,43,supportive,,0,supportive,0,5.921729564666748
470,3652,3701064,7544,retweet,cc9fd5fa15c13ecc2fc331626fca92014a0c45fa0da91685a487cac5bf58bf29,"RT @justinmaniluh Basically, Sass is making us think that Duterte was helpless and didn’t have a choice but to proceed with EDCA. Let me run the timeline of events for you: February 7, 2020: FPPRD ordered formal termination of VFA, triggering the 180 days or 6 months needed to fully terminate… https://t.co/t73I5AmppG",,1681821703,Twitter,,2020 basically choice days didn duterte edca events february formal fpprd fully helpless making months needed ordered proceed rt run sass terminate termination timeline triggering vfa,26,184,93,opposing,,0,opposing,0,5.579989910125732
1237,7990,5665429,37327,retweet,57e75a306509919649b9dd34bc2498f27d02762f9ca8b990b31475b928291a68,"RT @FMangosingINQ PH military has started building a 3-km runway and a pier on Balabac Island, one of the four additional locations under the EDCA. These are not US-funded EDCA projects but financed by the 🇵🇭 government https://t.co/3aXl6Eblwd https://t.co/SGMDOMMlUo",,1684364061,Twitter,,additional balabac building edca edca financed funded government island km locations military ph pier projects rt runway started,18,39,46,supportive,,0,supportive,0,5.534046173095703
1543,9762,6982889,34744,retweet,05891675ecb1e6446c52f905f0eede61d203a3b6ea5eb020ef7234624f12cef2,"RT @IndoPac_Info #Philippine Congress Set to Approve Expanded #US Base Deal as #China Expands Claims, Ambassador in US Says ""China’s persistent expansion into the #SouthChinaSea is the main security concern for Philippines."" “We won't give one inch of our territory.” https://t.co/57bkvxCdYE",,1687003870,Twitter,,ambassador approve base china china claims concern congress deal expanded expands expansion give inch main persistent philippines rt security set territory,21,88,40,supportive,,0,supportive,0,5.415740966796875
2775,15541,2200544,13564,retweet,7cad841599285c5a78a7289670e17a83719007eb5d80c2617089e3bac0a4f327,"RT @theadtan Publishing my thoughts on EDCA soon. Too much fearmongering about this and accusing the government of a sharp pivot towards the U.S. Not defending BBM & DND here, but they are not pivoting closer to USA, they're just implementing what was agreed upon in 2014.",,1675763598,Twitter,,2014 accusing agreed bbm closer defending dnd edca fearmongering government implementing pivot pivoting publishing rt sharp thoughts usa,18,35,87,supportive,,0,supportive,0,5.352391242980957
565,4126,2717295,34016,retweet,771f3cc1e6da6c30d3937ba0d0904d9e244cb50a03c059499782ad40d7d20542,"RT @IndoPac_Info #US Statement of Support for the #Philippines in the #SouthChinaSea implies that attacks oh PH Coast Guard ships are covered by the U.S. Philippines Mutual Defense Treaty This is big for the Philippines, but are they going to actually invoke the treaty? https://t.co/x2eF4DlUVo https://t.co/cfJ9WgfRKa",,1682849804,Twitter,,attacks big coast covered defense guard implies invoke mutual ph philippines philippines rt ships statement support treaty treaty,18,65,37,supportive,,0,supportive,0,5.249112606048584
521,4072,3427252,93441,retweet,7f2559b41bde3b834beb75eedaa5b6627eb4c8b9d8c0a38292d5f73270d62d7a,"RT @IndoPac_Info #US demands #China stop harassing #Philippine vessels The United States called on China to stop intimidating Philippine ships in the #SouthChinaSea, pledging to stand with its ally. Beijing claims sovereignty over almost the entire South China Sea. https://t.co/ahm4MJpROH",,1682867417,Twitter,,ally beijing called china china china claims demands entire harassing intimidating philippine pledging rt sea ships south sovereignty stand states stop stop united vessels,24,51,38,supportive,,0,supportive,0,5.108474254608154
1737,10492,7003789,127,retweet,e68be07723638485249f92b611322b713de5bca61a9cde5638738cb57c9ec19e,RT @DeptofDefense NEWS: The United States and the Philippines announced the locations of four new Enhanced Defense Cooperation Agreement—EDCA—sites today following a February 2023 commitment to expand the EDCA. Learn more: https://t.co/9q6opFGzed,,1680565202,Twitter,,agreement announced commitment cooperation defense edca edca enhanced expand february learn locations news philippines rt sites states today united,19,78,18,supportive,,0,supportive,0,5.055323600769043
525,4076,3958021,93441,retweet,4043351a8c7a58248a6d4ab44a55e810bee01defa24ee59bb9410ceaf4998769,RT @IndoPac_Info Increased #Chinese maritime militia activity in the EEZ of the #Philippines Can expect more of this as retaliation for the new PH agreement with the US to use more bases in the Philippines and the possibility that they could be used in a #Taiwan conflict.,,1684077887,Twitter,,activity agreement bases conflict eez expect increased maritime militia ph philippines possibility retaliation rt,14,51,38,supportive,,0,supportive,0,5.053649425506592
705,5013,2216812,7660,retweet,30b85e402082b8f612282d8803eb086d647f0ef1fe3b6546b418ce149fce7847,"RT @GordianKnotRay U.S. Support for the Philippines in the South China Sea PRESS STATEMENT OFFICE OF THE SPOKESPERSON APRIL 29, 2023 The United States stands with The #Philippines in the face of the People’s Republic of #China (PRC) Coast Guard’s continued infringement upon freedom of navigation…",,1683014913,Twitter,,29 april china china coast continued face freedom guard infringement navigation office people philippines prc press republic rt sea south spokesperson stands statement states support united,26,78,43,supportive,,0,supportive,0,4.989981174468994
1236,7974,6672953,37327,retweet,ad183a196172c923fa49b9a3d7499e12165f84ad48b417e18010a094402dc226,"RT @Aaron_MatthewIL Updated EDCA map by @ThrustWR. We found that when compared to the official graphic, the actual locations of the new sites tells a different story. Three of the four sites are concentrated in Northeastern Luzon, with two on the Luzon Strait facing Taiwan. https://t.co/6nt0Wi5vD0",,1681318525,Twitter,,actual compared concentrated edca facing found graphic locations luzon luzon map northeastern official rt sites sites story strait taiwan tells updated,21,35,46,supportive,,0,supportive,0,4.942839622497559
412,2735,5564000,6044,retweet,f15a5d5184fb991a99b997eeaa79339954a94d9b736c1bb5637f9554bbc6f055,"RT @Richeydarian “Buoyed by growing defense cooperation with its superpower ally, Manila is taking on China with growing confidence and determination, effectively marking the end of former president Rodrigo Duterte’s fruitless strategic flirtation with Beijing.” https://t.co/FD51gJkHO0",,1684363083,Twitter,,ally beijing buoyed china confidence cooperation defense determination duterte effectively end flirtation fruitless growing growing manila marking president rodrigo rt strategic superpower taking,23,49,28,supportive,,0,supportive,0,4.923632621765137
1836,11141,473176,213376,retweet,8995025943fb381546538e0085225d69e2901236ac93047356d27ba099aa69ad,RT @SecDef The Enhanced Defense Cooperation Agreement is a key pillar of the U.S.-Philippines alliance. (1/5) https://t.co/XDWsoLm4QL,,1675589148,Twitter,,agreement alliance cooperation defense enhanced key philippines pillar rt,9,50,18,supportive,,0,supportive,0,4.918506145477295
558,4118,4423713,34016,retweet,cf82560ec3bc5bfde5005d55c703ebc0612a882b7e01cf6ae65cf46fa12f0a86,"RT @IndoPac_Info #US, #Philippines begin largest-ever drills after #China exercises This annual Balikatan exercise would be their largest-ever, after Washington earlier this year secured a new defence deal with the Philippines. https://t.co/QgmDz7hP6V",,1681203376,Twitter,,annual balikatan begin china deal defence drills earlier exercise exercises largest largest philippines rt secured washington year,17,27,37,supportive,,0,supportive,0,4.913750171661377
1539,9755,5263184,34744,retweet,af7ace1948217bdc9a750d33c8e89e8db389e8dd616da66808dfc1378899fcea,RT @anderscorr China's aggression against the Philippines has caused the US to threaten to invoke the US-Philippines Mutual Defense Treaty of 1951 against China. This is a momentous and underreported red line drawn by the Biden Administration. https://t.co/3mvgcZ7LCW,,1683093444,Twitter,,administration aggression biden caused china china defense drawn invoke line momentous mutual philippines philippines red rt threaten treaty underreported,19,108,40,supportive,,0,supportive,0,4.885848045349121
500,4050,2876205,93441,retweet,491efce0e16242d411eed01cbedfd6ec452cea05cfe0a9990ed472829c99ef70,"RT @SecDef Adding four new EDCA locations—in addition to continuing our efforts to finalize more than $82M in projects at the current five locations—will allow more rapid support for humanitarian and climate-related disasters in the Philippines, and respond to other shared challenges. (4/5)",,1675350588,Twitter,,82m adding addition challenges climate continuing current disasters edca efforts finalize humanitarian locations locations philippines projects rapid related respond rt shared support,22,22,38,supportive,,0,supportive,0,4.8846235275268555
699,5003,4427846,7660,retweet,26717d8e63a0c0c989edb086213959f0c26c6584492e08d2b45079b7fe1c3423,"RT @societyofhonor The Philippines is deploying EDCA for her interests, the US for hers, and the two have the same solution. Join strengths and needs. China should butt out of PH affairs and stop shoving Taiwan at the Philippines. Taiwan is not an issue for the PH. The WPS is. Dumb bully China.",,1681588016,Twitter,,affairs bully butt china china deploying dumb edca interests issue join ph ph philippines philippines rt shoving solution stop strengths taiwan taiwan wps,23,25,43,supportive,,0,supportive,0,4.743009090423584
510,4061,1858409,93441,retweet,ab7ac9d265a45559601e4f6538830bbac9b46db3d31ac3dfd76fc255ac610b8c,"RT @IndoPac_Info #US led alliances slowly but surely encircling #China #AUKUS alliance reveals its nuclear plans while emerging US #Japan #Philippines military alignment changes the calculus around #Taiwan US & UK to station nuclear submarines in Perth, Western Australia https://t.co/yLBKtlbXMj",,1678806060,Twitter,,alignment alliance alliances australia calculus china emerging encircling japan led military nuclear nuclear perth plans reveals rt slowly station submarines surely uk western,23,16,38,supportive,,0,supportive,0,4.682072162628174
1951,11472,1690959,8323,retweet,7a33bb6e3cb446c8c4fbd9684c0e2fa1d20987e950091f6e791fb03ded27a494,"RT @JCRivera03 One thing I like about Bongbong is he always seems to put the Philippines first. Therefore, I believe he is strengthening Philippine-American relations because he truly believes that it is in the best interest of the Filipino both economically and militarily https://t.co/wKp30wlzUJ",,1675487855,Twitter,,american believes bongbong economically filipino interest militarily philippine philippines put relations rt strengthening thing,14,10,34,supportive,,0,supportive,0,4.6058831214904785
2547,13606,975715,61022,retweet,7eb8a56e78c3dec722ee9c9380785f35542b00b3d0fc2e4c6944b803f466f7e8,RT @Richeydarian FACT: The EDCA deal is all about preparing for & jointly DETERRING further BULLYING in West Philippine Sea & any potential INVASION of TAIWAN. Not provoation! But: expanded access across Cagayan & Isabella clearly also expose us should deterrence fail…,,1681292736,Twitter,,access bullying cagayan deal deterrence deterring edca expanded expose fact fail invasion isabella jointly philippine potential preparing provoation rt sea taiwan west,22,11,26,supportive,,0,supportive,0,4.559941291809082
