,Unnamed: 0,tweet_id,name,engagement_type,engagement_parent,rawTweet,univ_id,time_published,media_type,geo,postTweet,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt,semi_label,cluster,emb_val
1843,1843,7020949,16252,retweet,ceed7e142747babacc55d00643896e6489eb2618245254ca61ac586fc3d2a995,"RT @USNavy #NavyPartnerships look good! 🤝 🇯🇵 ⚓ 🇺🇸 The #USSNimitz (CVN 68) Carrier Strike Group and the units from the @jmsdf_pao_eng conducted bilateral exercises in the Philippine Sea, March 23-26. Read More 👇 https://t.co/ANZLGDnoOt https://t.co/XOVH3odN1W",,1680128698,Twitter,,23 26 68 bilateral carrier conducted cvn exercises good group march philippine read rt sea strike units,17,us_military,,111,111,supportive,,0,supportive,0,6.3036723136901855
4650,4650,4463792,23338,retweet,17e17a77277094d615edc8443aa2becfaf59df95be88035bb67fcefb64553021,"RT @neogem5 “The G7 leaders also stressed that there is no legal basis for 🇨🇳’s expansive claims in the South China Sea & strongly opposed its militarization in the region,” Japan Ambassador Kazuhiko Koshikawa said. G7 supports 2016 ruling on South China Sea claims https://t.co/ykMbuUKbCE",,1685305126,Twitter,,ambassador basis china china claims claims expansive g7 g7 japan kazuhiko koshikawa leaders legal militarization opposed region rt ruling sea sea south south stressed strongly supports,26,us_military,,34,123,supportive,,0,supportive,0,6.255783557891846
2376,2376,4373346,197,retweet,f8c09002f37ddf9179d007fb64acf94391563bf5cd88f3b1f42cbdc6001b079a,"RT @IndoPac_Info 2) ""US forces can't get there quickly."" ""It's basically submarines and US aircraft that are going to be operating from the southwest islands of Japan and eventually from bases in the northern Philippines,"" said the political scientist.",,1681818759,Twitter,,aircraft bases basically eventually forces islands japan northern operating philippines political quickly rt scientist southwest submarines,16,us_military,,16,54,supportive,,0,supportive,0,5.90320348739624
5649,5649,4952447,3835,retweet,569b7645980798a33d6b6281921f8d9007084ee4d0ea4b51e36814128b08fa9c,"RT @jpsoriano LOOK: As President Ferdinand Marcos Jr. flew to Zurich aboard Flight PR01, he was escorted by fighter jets of the Armed Forces of the Philippines. Two FA-50 fighter jets stayed with the plane until it left Philippine airspace. ⁦@gmanews⁩ ⁦@gmapinoytv⁩ https://t.co/51MPFTseCK",,1673803886,Twitter,,50 aboard airspace armed escorted fa ferdinand fighter fighter flew flight forces jets jets jr left marcos philippine philippines plane pr01 president rt stayed zurich,25,us_military,,48,447,supportive,,0,supportive,0,5.876864433288574
2854,2854,5311236,147203,retweet,ce8a72b4fbbde7067c82990cf183981df3e3378bab9114ce5956fcc46a8ee30c,"RT @ianellisjones Militaries from the US, Taiwan, Japan, South Korea, Philippines, Australia, China, Russia, & North Korea are exercising & operating in the Western Pacific this weekend. This is not being reported by the media. I researched for hours so you can get up to speed in minutes.",,1682275151,Twitter,,australia china exercising hours japan korea korea media militaries minutes north operating pacific philippines reported researched rt russia south speed taiwan weekend western,23,us_military,,44,43,supportive,,0,supportive,0,5.806690692901611
2312,2312,5711332,34016,retweet,480d4811f956ed41941ef33d9f5859d5697e3ca4af5b2c72ac1c290b2f59e9f7,"RT @AP U.S. and Filipino forces have fired a barrage of high-precision rockets, airstrikes and artillery in their largest war drills in Philippine waters facing the disputed South China Sea that would likely antagonize China. https://t.co/MRwLP6s2h2",,1682495440,Twitter,,airstrikes antagonize artillery barrage china china disputed drills facing filipino fired forces high largest philippine precision rockets rt sea south war waters,22,us_military,,31,90,supportive,,0,supportive,0,5.803019046783447
2310,2310,3120581,34016,retweet,1ad248fd1b3b729217d69a398c711af6c208c35e9d03b2ba87a17c4328da8e90,RT @Reuters The US Navy said its guided-missile destroyer USS Milius conducted a navigational rights and freedoms mission in the South China Sea near the Spratly Islands https://t.co/e87pTtzAKK https://t.co/F2WGx267Xa,,1681103427,Twitter,,china conducted destroyer freedoms guided islands milius missile mission navigational navy rights rt sea south spratly uss,17,us_military,,63,90,supportive,,0,supportive,0,5.7556586265563965
1472,1472,795271,61575,retweet,71cd26f19c0e4a5df99468ec33edcc536d7cf1345ea2662685e9eef3295b86a1,RT @matjendav4 China blinding Philippine sailors with military grade lasers ~ ~ U.S. Navy drills in South China Sea as Beijing justifies laser attack https://t.co/LlyTVIyPsZ https://t.co/iUOdFjHWxC,,1676565615,Twitter,,attack beijing blinding china china drills grade justifies laser lasers military navy philippine rt sailors sea south,17,us_military,,87,20,opposing,,0,opposing,0,5.732944965362549
2320,2320,5278814,34016,retweet,03e47f81a6ae8d3759ace450f90f45c11e9906856e8f4ea4a426710b56553ebd,"RT @Reuters Philippines, U.S. discuss joint coast guard patrols in South China Sea https://t.co/bcyaLPF9iR https://t.co/oMymaKsjvE",,1676907867,Twitter,,china coast discuss guard joint patrols philippines rt sea south,10,us_military,defense_and_military,34,90,supportive,,0,supportive,0,5.730417251586914
4310,4310,3414720,8323,retweet,100af91dee14cab8cdda15ffff6bd63491e6052688bfe19699d3afbf44c0f686,"RT ŠPTVph NEWS UPDATE: President Ferdinand R. Marcos Jr. came to the Philippine Military Academy (PMA) Grandstand at Fort General Gregory del Pilar in Baguio City for the PMA Alumni Homecoming this Saturday, Feb. 18. Screen Grab: RTVM hatps:/co./On4 Saps7",,1676683725,Twitter,,18 academy alumni baguio city del feb ferdinand fort general grab grandstand gregory hatps homecoming jr marcos military news on4 philippine pilar pma pma president rt rtvm saps7 saturday screen update šptvph,32,us_military,,13,115,supportive,,0,supportive,0,5.72916316986084
